origin_country,accepted,count_accepted,count_country,acceptance_rate
IN,True,138,874,0.15789473684210525
HR,True,159,530,0.3
AT,True,83,239,0.3472803347280335
RU,True,83,239,0.3472803347280335
IT,True,1183,3137,0.3771118903410902
AE,True,59,154,0.38311688311688313
CA,True,407,993,0.40986908358509566
IE,True,1217,2951,0.4124025753981701
ES,True,794,1914,0.4148380355276907
RO,True,50,118,0.423728813559322
CR,True,82,188,0.43617021276595747
GB,True,1610,3667,0.43905099536405784
BE,True,134,304,0.4407894736842105
BR,True,215,482,0.4460580912863071
AU,True,268,590,0.4542372881355932
FR,True,1526,3232,0.47215346534653463
CH,True,279,585,0.47692307692307695
US,True,2050,4298,0.47696603071195903
DE,True,745,1535,0.48534201954397393
NL,True,212,433,0.4896073903002309
SG,True,115,232,0.4956896551724138
PT,True,101,203,0.4975369458128079
DK,True,86,125,0.688
